Category,Language,Word,Age_Suitability
Mild,Filipino,bugnutin,All ages
Mild,English,jock,All ages
Mild,Filipino,sumpong,All ages
Mild,English,awkward,All ages
Mild,Filipino,kunwari,All ages
Mild,English,bore,All ages
Mild,Filipino,marupok,All ages
Mild,English,boo,All ages
Mild,Filipino,paasa,All ages
Mild,English,klutz,All ages
Mild,Filipino,kyut,All ages
Mild,English,copycat,All ages
Mild,Filipino,arte,All ages
Mild,English,stupid,All ages
Mild,Filipino,tamad,All ages
Mild,English,odd,All ages
Mild,Filipino,kwenta,All ages
Mild,English,ugh,All ages
Mild,Filipino,baboy,All ages
Mild,English,scold,All ages
Mild,Filipino,taktik,All ages
Mild,English,nag,All ages
Mild,Filipino,sip-sip,All ages
Mild,English,rant,All ages
Mild,Filipino,kengkoy,All ages
Mild,English,scoff,All ages
Mild,Filipino,tulog,All ages
Mild,English,bum,All ages
Mild,Filipino,kalyo,All ages
Mild,English,loony,All ages
Mild,Filipino,bungisngis,All ages
Mild,English,babble,All ages
Mild,Filipino,kaladkarin,All ages
Mild,English,ugh,All ages
Mild,Filipino,arte,All ages
Mild,English,gimmick,All ages
Mild,Filipino,kwela,All ages
Mild,English,drat,All ages
Mild,Filipino,tumpak,All ages
Mild,English,whine,All ages
Mild,Filipino,sintunado,All ages
Mild,English,buzzkill,All ages
Mild,Filipino,palpak,All ages
Mild,English,clown,All ages
Mild,Filipino,basa,All ages
Mild,English,weakling,All ages
Mild,Filipino,walang-gana,All ages
Mild,English,poser,All ages
Mild,Filipino,bastos,All ages
Mild,English,lazy,All ages
Mild,Filipino,bulok,All ages
Mild,English,oddball,All ages
Mild,Filipino,kwek-kwek,All ages
Mild,English,wannabe,All ages
Mild,Filipino,kulot,All ages
Mild,English,mumble,All ages
Mild,Filipino,duling,All ages
Mild,English,whisper,All ages
Mild,Filipino,kulangot,All ages
Mild,English,phony,All ages
Mild,Filipino,bungi,All ages
Mild,English,blurt,All ages
Mild,Filipino,lamon,All ages
Mild,English,fudge,All ages
Mild,Filipino,palpak,All ages
Mild,English,drip,All ages
Mild,Filipino,tambay,All ages
Mild,English,flimsy,All ages
Mild,Filipino,kaliwete,All ages
Mild,English,kook,All ages
Mild,Filipino,laglag,All ages
Mild,English,weirdo,All ages
Mild,Filipino,duling,All ages
Mild,English,whizz,All ages
Mild,Filipino,bingi,All ages
Mild,English,blah,All ages
Mild,Filipino,banat,All ages
Mild,English,noob,All ages
Mild,Filipino,banas,All ages
Mild,English,zany,All ages
Mild,Filipino,abala,All ages
Mild,English,lark,All ages
Mild,Filipino,alanganin,All ages
Mild,English,gaudy,All ages
Mild,Filipino,bitin,All ages
Mild,English,glare,All ages
Mild,Filipino,hamog,All ages
Mild,English,junky,All ages
Mild,Filipino,malabo,All ages
Mild,English,rowdy,All ages
Mild,Filipino,mapili,All ages
Mild,English,lousy,All ages
Mild,Filipino,ligalig,All ages
Mild,English,dummy,All ages
Mild,Filipino,patpatin,All ages
Mild,English,slug,All ages
Mild,Filipino,balat-sibuyas,All ages
Mild,English,quirk,All ages
Mild,Filipino,kulet,All ages
Mild,English,vague,All ages
Mild,Filipino,mayabang,All ages
Mild,English,iffy,All ages
Mild,Filipino,madaldal,All ages
Mild,English,blur,All ages
Mild,Filipino,ngilo,All ages
Mild,English,fluff,All ages
Mild,Filipino,pasinghot,All ages
Mild,English,jitter,All ages
Mild,Filipino,antukin,All ages
Mild,English,brat,All ages
Mild,Filipino,tawanan,All ages
Mild,English,squirt,All ages
Mild,Filipino,parinig,All ages
Mild,English,smelly,All ages
Mild,Filipino,banal,All ages
Mild,English,quirky,All ages
Mild,Filipino,tuktok,All ages
Mild,English,sappy,All ages
Mild,Filipino,kilig,All ages
Mild,English,whimper,All ages
Mild,Filipino,basagulero,All ages
Mild,English,bark,All ages
Mild,Filipino,kalmado,All ages
Mild,English,snap,All ages
Mild,Filipino,madali,All ages
Mild,English,bump,All ages
Mild,Filipino,masaya,All ages
Mild,English,tap,All ages
Mild,Filipino,simple,All ages
Mild,English,twinkle,All ages
Mild,Filipino,tahimik,All ages
Mild,English,picky,All ages
Mild,Filipino,banayad,All ages
Mild,English,nerve,All ages
Mild,Filipino,maingat,All ages
Mild,English,tickle,All ages
Mild,Filipino,malumanay,All ages
Mild,English,petty,All ages
Mild,Filipino,makulit,All ages
Mild,English,grumble,All ages
Mild,Filipino,mahiyain,All ages
Mild,English,chatty,All ages
Mild,Filipino,malambot,All ages
Mild,English,boring,All ages
Mild,Filipino,matipid,All ages
Mild,English,dizzy,All ages
Mild,Filipino,kalog,All ages
Mild,English,twitchy,All ages
Mild,Filipino,biro,All ages
Mild,English,bustle,All ages
Mild,Filipino,tulog,All ages
Mild,English,wiggle,All ages
Mild,Filipino,magalang,All ages
Mild,English,plod,All ages
Mild,Filipino,kuripot,All ages
Mild,English,hasty,All ages
Mild,Filipino,kontento,All ages
Mild,English,absent-minded,All ages
Mild,Filipino,mahinhin,All ages
Mild,English,careless,All ages
Mild,Filipino,maligaya,All ages
Mild,English,clumsy,All ages
Mild,Filipino,masunurin,All ages
Mild,English,silly,All ages
Mild,Filipino,magaan,All ages
Mild,English,nosy,All ages
Mild,Filipino,malumanay,All ages
Mild,English,untidy,All ages
Mild,Filipino,kwela,All ages
Mild,English,stubborn,All ages
Mild,Filipino,magalang,All ages
Mild,English,indecisive,All ages
Mild,Filipino,tahimik,All ages
Mild,English,slowpoke,All ages
Mild,Filipino,mahinahon,All ages
Mild,English,forgetful,All ages
Mild,Filipino,maayos,All ages
Mild,English,messy,All ages
Mild,Filipino,maabilidad,All ages
Mild,English,awkward,All ages
Mild,Filipino,maawain,All ages
Mild,English,lazybones,All ages
Mild,Filipino,kaaya-aya,All ages
Mild,English,grumbler,All ages
Mild,Filipino,palakaibigan,All ages
Mild,English,timid,All ages
Mild,Filipino,mapagbigay,All ages
Mild,English,chatty,All ages
Mild,Filipino,masipag,All ages
Mild,English,quiet,All ages
Mild,Filipino,matapat,All ages
Mild,English,quirky,All ages
Mild,Filipino,maalalahanin,All ages
Mild,English,unpredictable,All ages
Mild,Filipino,magiliw,All ages
Mild,English,distracted,All ages
Mild,Filipino,maalaga,All ages
Mild,English,restless,All ages
Mild,Filipino,marunong,All ages
Mild,English,daydreamer,All ages
Mild,Filipino,maabilidad,All ages
Mild,English,picky,All ages
Mild,Filipino,mainit,All ages
Mild,English,fussy,All ages
Mild,Filipino,magaan,All ages
Mild,English,pushy,All ages
Mild,Filipino,hindi mahirap,All ages
Mild,English,hesitant,All ages
Mild,Filipino,masinop,All ages
Mild,English,shy,All ages
Mild,Filipino,masiyahin,All ages
Mild,English,meek,All ages
Mild,Filipino,masaya,All ages
Mild,English,soft,All ages
Mild,Filipino,kaibig-ibig,All ages
Mild,English,unassertive,All ages
Mild,Filipino,masarap,All ages
Mild,English,scatterbrained,All ages
Mild,Filipino,tahimik,All ages
Mild,English,clingy,All ages
Mild,Filipino,hindi mapanakit,All ages
Mild,English,nagging,All ages
Mild,Filipino,kalma,All ages
Mild,English,teasing,All ages
Mild,Filipino,banayad,All ages
Mild,English,jumpy,All ages
Mild,Filipino,nakakarelax,All ages
Mild,English,giddy,All ages
Mild,Filipino,magaan,All ages
Mild,English,muttering,All ages
Mild,Filipino,kaaya-aya,All ages
Mild,English,hushed,All ages
Mild,Filipino,kagalang-galang,All ages
Mild,English,cautious,All ages
Mild,Filipino,malumanay,All ages
Mild,English,lighthearted,All ages
Mild,Filipino,komportable,All ages
Mild,English,reluctant,All ages
Mild,Filipino,kapanatag,All ages
Mild,English,cheesy,All ages
Mild,Filipino,mahiyain,All ages
Mild,English,overly curious,All ages
Mild,Filipino,masarap,All ages
Mild,English,innocent,All ages
Mild,Filipino,mabango,All ages
Mild,English,dorky,All ages
Mild,Filipino,mahinahon,All ages
Mild,English,sweet,All ages
Mild,Filipino,kontento,All ages
Mild,English,passive,All ages
Mild,Filipino,simpleng buhay,All ages
Mild,English,bashful,All ages
Mild,Filipino,mabait,All ages
Mild,English,flustered,All ages
Mild,Filipino,mahusay,All ages
Mild,English,mellow,All ages
Mild,Filipino,kaaya-aya,All ages
Mild,English,dull,All ages
Mild,Filipino,mainit,All ages
Mild,English,inattentive,All ages
Mild,Filipino,nakakatuwa,All ages
Mild,English,forgetful,All ages
Mild,Filipino,marangal,All ages
Mild,English,carefree,All ages
Mild,Filipino,mapagmahal,All ages
Mild,English,simple,All ages
Mild,Filipino,mabango,All ages
Mild,English,plain,All ages
Mild,Filipino,banayad,All ages
Mild,English,mild-mannered,All ages
Mild,Filipino,magaan,All ages
Mild,English,light,All ages
Mild,Filipino,mainam,All ages
Mild,English,easygoing,All ages
Mild,Filipino,kaibig-ibig,All ages
Mild,English,relaxed,All ages
Mild,Filipino,maayos,All ages
Mild,English,kindhearted,All ages
Mild,Filipino,masarap,All ages
Mild,English,happy-go-lucky,All ages
Mild,Filipino,payapa,All ages
Mild,English,moderate,All ages
Mild,Filipino,magalang,All ages
Mild,English,playful,All ages
Mild,Filipino,makatao,All ages
Mild,English,gentle,All ages
Mild,Filipino,malinis,All ages
Mild,English,softspoken,All ages
Mild,Filipino,kalma,All ages
Mild,English,calm,All ages
Mild,Filipino,mainit,All ages
Mild,English,soothing,All ages
Mild,Filipino,makulit,All ages
Mild,English,comforting,All ages
Mild,Filipino,madaldal,All ages
Mild,English,peaceful,All ages
Mild,Filipino,mabiro,All ages
Mild,English,neutral,All ages
Mild,Filipino,tampok,All ages
Mild,English,ordinary,All ages
Mild,Filipino,mapili,All ages
Mild,English,bland,All ages
Mild,Filipino,malabo,All ages
Mild,English,low-key,All ages
Mild,Filipino,masungit,All ages
Mild,English,cool,All ages
Mild,Filipino,madamot,All ages
Mild,English,placid,All ages
Mild,Filipino,mabagsik,All ages
Mild,English,tame,All ages
Mild,Filipino,mabagal,All ages
Mild,English,balanced,All ages
Mild,Filipino,maselan,All ages
Mild,English,fair,All ages
Mild,Filipino,mainipin,All ages
Mild,English,unoffensive,All ages
Mild,Filipino,malikot,All ages
Mild,English,safe,All ages
Mild,Filipino,kakaiba,All ages
Mild,English,harmless,All ages
Mild,Filipino,makukulit,All ages
Mild,English,softhearted,All ages
Mild,Filipino,kagimbal-gimbal,All ages
Mild,English,heartwarming,All ages
Mild,Filipino,mahina,All ages
Mild,English,supportive,All ages
Mild,Filipino,makukulit,All ages
Mild,English,uplifting,All ages
Mild,Filipino,mapagmahal,All ages
Mild,English,content,All ages
Mild,Filipino,malikhaing isip,All ages
Mild,English,agreeable,All ages
Mild,Filipino,maingay,All ages
Mild,English,cozy,All ages
Mild,Filipino,madilim,All ages
Mild,English,chilled,All ages
Mild,Filipino,matapang-tapang,All ages
Mild,English,reserved,All ages
Mild,Filipino,makulit,All ages
Mild,English,affectionate,All ages
Mild,Filipino,mabait-bait,All ages
Mild,English,docile,All ages
Mild,Filipino,mabait-bait,All ages
Mild,English,amicable,All ages
Mild,Filipino,matigas,All ages
Mild,English,pleasing,All ages
Mild,Filipino,malumanay,All ages
Mild,English,welcoming,All ages
Mild,Filipino,madaling masira,All ages
Mild,English,cordial,All ages
Mild,Filipino,mahiyain,All ages
Mild,English,poke fun,All ages
Mild,Filipino,maalindog,All ages
Mild,English,clingy,All ages
Mild,Filipino,malambot,All ages
Mild,English,restless,All ages
Mild,Filipino,mahina,All ages
Mild,English,fickle,All ages
Mild,Filipino,mayabang-yabang,All ages
Mild,English,iffy,All ages
Mild,Filipino,matino-tino,All ages
Mild,English,corny,All ages
Mild,Filipino,matino-tino,All ages
Mild,English,itchy,All ages
Mild,Filipino,matino-tino,All ages
Mild,English,squirm,All ages
Mild,Filipino,magulo-gulo,All ages
Mild,English,noisy,All ages
Mild,Filipino,mali-mali,All ages
Mild,English,sneer,All ages
Mild,Filipino,mabagsik-bagsik,All ages
Mild,English,blurry,All ages
Mild,Filipino,malikot-likot,All ages
Mild,English,wobble,All ages
Mild,Filipino,matakaw-takaw,All ages
Mild,English,nosy,All ages
Mild,Filipino,matakaw-takaw,All ages
Mild,English,fluffy,All ages
Mild,Filipino,mayabang-yabang,All ages
Mild,English,picky,All ages
Mild,Filipino,matino-tino,All ages
Mild,English,blurt,All ages
Mild,Filipino,mabait-bait,All ages
Mild,English,smirk,All ages
Mild,Filipino,mabait-bait,All ages
Mild,English,nibble,All ages
Mild,Filipino,malambot,All ages
Mild,English,awkwardness,All ages
Mild,Filipino,mabait-bait,All ages
Mild,English,spook,All ages
Mild,Filipino,mahina,All ages
Mild,English,nagging,All ages
Mild,Filipino,madilim,All ages
Mild,English,giggly,All ages
Mild,Filipino,malumanay,All ages
Mild,English,nosy,All ages
Mild,Filipino,matigas,All ages
Mild,English,fidget,All ages
Mild,Filipino,putik,All ages
Mild,English,frizzy,All ages
Mild,Filipino,leche,All ages
Mild,English,clumsy,All ages
Mild,Filipino,gago,All ages
Mild,English,gritty,All ages
Mild,Filipino,loko,All ages
Mild,English,pouty,All ages
Mild,Filipino,tulak,All ages
Mild,English,sappy,All ages
Mild,Filipino,sipa,All ages
Mild,English,snort,All ages
Mild,Filipino,tusok,All ages
Mild,English,picky,All ages
Mild,Filipino,itulak,All ages
Mild,English,spunky,All ages
Mild,Filipino,landi,All ages
Mild,English,wacky,All ages
Mild,Filipino,halik,All ages
Mild,English,whiny,All ages
Mild,Filipino,crush,All ages
Mild,English,wonky,All ages
Mild,Filipino,yakap,All ages
Mild,English,weepy,All ages
Mild,Filipino,bobo,All ages
Mild,English,scrawny,All ages
Mild,Filipino,weirdo,All ages
Mild,English,chunky,All ages
Mild,Filipino,baliw,All ages
Mild,English,itchy,All ages
Mild,Filipino,talunan,All ages
Mild,English,dimwit,All ages
Mild,Filipino,gunggong,All ages
Mild,English,peppy,All ages
Mild,Filipino,kapal,All ages
Mild,English,chatty,All ages
Mild,Filipino,loko-loko,All ages
Mild,English,timid,All ages
Mild,Filipino,gunggong,All ages
Mild,English,quirky,All ages
Mild,Filipino,utak-pulbos,All ages
Mild,English,kooky,All ages
Mild,Filipino,tanga,All ages
Mild,English,rowdy,All ages
Mild,Filipino,lungkot,All ages
Mild,English,creaky,All ages
Mild,Filipino,sayang,All ages
Mild,English,loopy,All ages
Mild,Filipino,ayusin,All ages
Mild,English,plucky,All ages
Mild,Filipino,magulo,All ages
Mild,English,lazy,All ages
Mild,Filipino,asik,All ages
Mild,English,hasty,All ages
Mild,Filipino,kainis,All ages
Mild,English,giddy,All ages
Mild,Filipino,asar,All ages
Mild,English,lumpy,All ages
Mild,Filipino,biro,All ages
Mild,English,bouncy,All ages
Mild,Filipino,banat,All ages
Mild,English,clunky,All ages
Mild,Filipino,bolero,All ages
Mild,English,snappy,All ages
Mild,Filipino,kulit,All ages
Mild,English,stingy,All ages
Mild,Filipino,tili,All ages
Mild,English,gruff,All ages
Mild,Filipino,bugnutin,All ages
Mild,English,dreary,All ages
Mild,Filipino,sumpong,All ages
Mild,English,bubbly,All ages
Mild,Filipino,kunwari,All ages
Mild,English,zesty,All ages
Mild,Filipino,marupok,All ages
Mild,English,groggy,All ages
Mild,Filipino,paasa,All ages
Mild,English,snarky,All ages
Mild,Filipino,kyut,All ages
Mild,English,dorky,All ages
Mild,Filipino,arte,All ages
Mild,English,cheesy,All ages
Mild,Filipino,tamad,All ages
Mild,English,nutty,All ages
Mild,Filipino,kwenta,All ages
Mild,English,cuddly,All ages
Mild,Filipino,baboy,All ages
Mild,English,jumpy,All ages
Mild,Filipino,taktik,All ages
Mild,English,quirky,All ages
Mild,Filipino,sip-sip,All ages
Mild,English,frumpy,All ages
Mild,Filipino,kengkoy,All ages
Mild,English,drowsy,All ages
Mild,Filipino,tulog,All ages
Mild,English,goofy,All ages
Mild,Filipino,kalyo,All ages
Mild,English,wiggly,All ages
Mild,Filipino,bungisngis,All ages
Mild,English,tubby,All ages
Mild,Filipino,kaladkarin,All ages
Mild,English,grumpy,All ages
Mild,Filipino,arte,All ages
Mild,English,slushy,All ages
Mild,Filipino,kwela,All ages
Mild,English,witty,All ages
Mild,Filipino,tumpak,All ages
Mild,English,quirky,All ages
Mild,Filipino,sintunado,All ages
Mild,English,lanky,All ages
Mild,Filipino,palpak,All ages
Mild,English,moody,All ages
Mild,Filipino,basa,All ages
Mild,English,testy,All ages
Mild,Filipino,walang-gana,All ages
Mild,English,smelly,All ages
Mild,Filipino,bastos,All ages
Mild,English,jumpy,All ages
Mild,Filipino,bulok,All ages
Mild,English,spunky,All ages
Mild,Filipino,kwek-kwek,All ages
Mild,English,prickly,All ages
Mild,Filipino,kulot,All ages
Mild,English,flaky,All ages
Mild,Filipino,duling,All ages
Mild,English,quirky,All ages
Mild,Filipino,kulangot,All ages
Mild,English,wordy,All ages
Mild,Filipino,bungi,All ages
Mild,English,clingy,All ages
Mild,Filipino,lamon,All ages
Mild,English,fuzzy,All ages
Mild,Filipino,palpak,All ages
Mild,English,spooky,All ages
Mild,Filipino,tambay,All ages
Mild,English,dingy,All ages
Mild,Filipino,kaliwete,All ages
Mild,English,pouty,All ages
Mild,Filipino,laglag,All ages
Mild,English,bumpy,All ages
Mild,Filipino,duling,All ages
Mild,English,nosy,All ages
Mild,Filipino,bingi,All ages
Mild,English,cranky,All ages
Mild,Filipino,banat,All ages
Mild,English,heck,All ages
Mild,Filipino,banas,All ages
Mild,English,darn,All ages
Mild,Filipino,abala,All ages
Mild,English,crap,All ages
Mild,Filipino,alanganin,All ages
Mild,English,shoot,All ages
Mild,Filipino,bitin,All ages
Mild,English,push,All ages
Mild,Filipino,hamog,All ages
Mild,English,kick,All ages
Mild,Filipino,malabo,All ages
Mild,English,poke,All ages
Mild,Filipino,mapili,All ages
Mild,English,shove,All ages
Mild,Filipino,ligalig,All ages
Mild,English,flirt,All ages
Mild,Filipino,patpatin,All ages
Mild,English,kiss,All ages
Mild,Filipino,balat-sibuyas,All ages
Mild,English,crush,All ages
Mild,Filipino,kulet,All ages
Mild,English,hug,All ages
Mild,Filipino,mayabang,All ages
Mild,English,geek,All ages
Mild,Filipino,madaldal,All ages
Mild,English,nerd,All ages
Mild,Filipino,ngilo,All ages
Mild,English,silly,All ages
Mild,Filipino,pasinghot,All ages
Mild,English,loser,All ages
Mild,Filipino,antukin,All ages
Mild,English,screw,All ages
Mild,Filipino,tawanan,All ages
Mild,English,yuck,All ages
Mild,Filipino,parinig,All ages
Mild,English,jerk,All ages
Mild,Filipino,banal,All ages
Mild,English,dummy,All ages
Mild,Filipino,tuktok,All ages
Mild,English,freak,All ages
Mild,Filipino,kilig,All ages
Mild,English,dodo,All ages
Mild,Filipino,basagulero,All ages
Mild,English,nutcase,All ages
Mild,Filipino,kalmado,All ages
Mild,English,goof,All ages
Mild,Filipino,madali,All ages
Mild,English,dope,All ages
Mild,Filipino,masaya,All ages
Mild,English,lame,All ages
Mild,Filipino,simple,All ages
Mild,English,twit,All ages
Mild,Filipino,tahimik,All ages
Mild,English,lousy,All ages
Mild,Filipino,banayad,All ages
Mild,English,gosh,All ages
Mild,Filipino,maingat,All ages
Mild,English,crud,All ages
Mild,Filipino,malumanay,All ages
Mild,English,wimp,All ages
Mild,Filipino,makulit,All ages
Mild,English,bleep,All ages
Mild,Filipino,mahiyain,All ages
Mild,English,bozo,All ages
Mild,Filipino,malambot,All ages
Mild,English,shrug,All ages
Mild,Filipino,matipid,All ages
Mild,English,meh,All ages
Mild,Filipino,kalog,All ages
Mild,English,jock,All ages
Mild,Filipino,biro,All ages
Mild,English,awkward,All ages
Mild,Filipino,tulog,All ages
Mild,English,bore,All ages
Mild,Filipino,magalang,All ages
Mild,English,boo,All ages
Mild,Filipino,kuripot,All ages
Mild,English,klutz,All ages
Mild,Filipino,kontento,All ages
Mild,English,copycat,All ages
Mild,Filipino,mahinhin,All ages
Mild,English,stupid,All ages
Mild,Filipino,maligaya,All ages
Mild,English,odd,All ages
Mild,Filipino,masunurin,All ages
Mild,English,ugh,All ages
Mild,Filipino,magaan,All ages
Mild,English,scold,All ages
Mild,Filipino,malumanay,All ages
Mild,English,nag,All ages
Mild,Filipino,kwela,All ages
Mild,English,rant,All ages
Mild,Filipino,magalang,All ages
Mild,English,scoff,All ages
Mild,Filipino,tahimik,All ages
Mild,English,bum,All ages
Mild,Filipino,mahinahon,All ages
Mild,English,loony,All ages
Mild,Filipino,maayos,All ages
Mild,English,babble,All ages
Mild,Filipino,maabilidad,All ages
Mild,English,ugh,All ages
Mild,Filipino,maawain,All ages
Mild,English,gimmick,All ages
Mild,Filipino,kaaya-aya,All ages
Mild,English,drat,All ages
Mild,Filipino,palakaibigan,All ages
Mild,English,whine,All ages
Mild,Filipino,mapagbigay,All ages
Mild,English,buzzkill,All ages
Mild,Filipino,masipag,All ages
Mild,English,clown,All ages
Mild,Filipino,matapat,All ages
Mild,English,weakling,All ages
Mild,Filipino,maalalahanin,All ages
Mild,English,poser,All ages
Mild,Filipino,magiliw,All ages
Mild,English,lazy,All ages
Mild,Filipino,maalaga,All ages
Mild,English,oddball,All ages
Mild,Filipino,marunong,All ages
Mild,English,wannabe,All ages
Mild,Filipino,maabilidad,All ages
Mild,English,mumble,All ages
Mild,Filipino,mainit,All ages
Mild,English,whisper,All ages
Mild,Filipino,magaan,All ages
Mild,English,phony,All ages
Mild,Filipino,hindi mahirap,All ages
Mild,English,blurt,All ages
Mild,Filipino,masinop,All ages
Mild,English,fudge,All ages
Mild,Filipino,masiyahin,All ages
Mild,English,drip,All ages
Mild,Filipino,masaya,All ages
Mild,English,flimsy,All ages
Mild,Filipino,kaibig-ibig,All ages
Mild,English,kook,All ages
Mild,Filipino,masarap,All ages
Mild,English,weirdo,All ages
Mild,Filipino,tahimik,All ages
Mild,English,whizz,All ages
Mild,Filipino,hindi mapanakit,All ages
Mild,English,blah,All ages
Mild,Filipino,kalma,All ages
Mild,English,noob,All ages
Mild,Filipino,banayad,All ages
Mild,English,zany,All ages
Mild,Filipino,nakakarelax,All ages
Mild,English,lark,All ages
Mild,Filipino,magaan,All ages
Mild,English,gaudy,All ages
Mild,Filipino,kaaya-aya,All ages
Mild,English,glare,All ages
Mild,Filipino,kagalang-galang,All ages
Mild,English,junky,All ages
Mild,Filipino,malumanay,All ages
Mild,English,rowdy,All ages
Mild,Filipino,komportable,All ages
Mild,English,lousy,All ages
Mild,Filipino,kapanatag,All ages
Mild,English,dummy,All ages
Mild,Filipino,mahiyain,All ages
Mild,English,slug,All ages
Mild,Filipino,masarap,All ages
Mild,English,quirk,All ages
Mild,Filipino,mabango,All ages
Mild,English,vague,All ages
Mild,Filipino,mahinahon,All ages
Mild,English,iffy,All ages
Mild,Filipino,kontento,All ages
Mild,English,blur,All ages
Mild,Filipino,simpleng buhay,All ages
Mild,English,fluff,All ages
Mild,Filipino,mabait,All ages
Mild,English,jitter,All ages
Mild,Filipino,mahusay,All ages
Mild,English,brat,All ages
Mild,Filipino,kaaya-aya,All ages
Mild,English,squirt,All ages
Mild,Filipino,mainit,All ages
Mild,English,smelly,All ages
Mild,Filipino,nakakatuwa,All ages
Mild,English,quirky,All ages
Mild,Filipino,marangal,All ages
Mild,English,sappy,All ages
Mild,Filipino,mapagmahal,All ages
Mild,English,whimper,All ages
Mild,Filipino,mabango,All ages
Mild,English,bark,All ages
Mild,Filipino,banayad,All ages
Mild,English,snap,All ages
Mild,Filipino,magaan,All ages
Mild,English,bump,All ages
Mild,Filipino,mainam,All ages
Mild,English,tap,All ages
Mild,Filipino,kaibig-ibig,All ages
Mild,English,twinkle,All ages
Mild,Filipino,maayos,All ages
Mild,English,picky,All ages
Mild,Filipino,masarap,All ages
Mild,English,nerve,All ages
Mild,Filipino,payapa,All ages
Mild,English,tickle,All ages
Mild,Filipino,magalang,All ages
Mild,English,petty,All ages
Mild,Filipino,makatao,All ages
Mild,English,grumble,All ages
Mild,Filipino,malinis,All ages
Mild,English,chatty,All ages
Mild,Filipino,kalma,All ages
Mild,English,boring,All ages
Mild,Filipino,mainit,All ages
Mild,English,dizzy,All ages
Mild,Filipino,makulit,All ages
Mild,English,twitchy,All ages
Mild,Filipino,madaldal,All ages
Mild,English,bustle,All ages
Mild,Filipino,mabiro,All ages
Mild,English,wiggle,All ages
Mild,Filipino,tampok,All ages
Mild,English,plod,All ages
Mild,Filipino,mapili,All ages
Mild,English,hasty,All ages
Mild,Filipino,malabo,All ages
Mild,English,absent-minded,All ages
Mild,Filipino,masungit,All ages
Mild,English,careless,All ages
Mild,Filipino,madamot,All ages
Mild,English,clumsy,All ages
Mild,Filipino,mabagsik,All ages
Mild,English,silly,All ages
Mild,Filipino,mabagal,All ages
Mild,English,nosy,All ages
Mild,Filipino,maselan,All ages
Mild,English,untidy,All ages
Mild,Filipino,mainipin,All ages
Mild,English,stubborn,All ages
Mild,Filipino,malikot,All ages
Mild,English,indecisive,All ages
Mild,Filipino,kakaiba,All ages
Mild,English,slowpoke,All ages
Mild,Filipino,makukulit,All ages
Mild,English,forgetful,All ages
Mild,Filipino,kagimbal-gimbal,All ages
Mild,English,messy,All ages
Mild,Filipino,mahina,All ages
Mild,English,awkward,All ages
Mild,Filipino,makukulit,All ages
Mild,English,lazybones,All ages
Mild,Filipino,mapagmahal,All ages
Mild,English,grumbler,All ages
Mild,Filipino,malikhaing isip,All ages
Mild,English,timid,All ages
Mild,Filipino,maingay,All ages
Mild,English,chatty,All ages
Mild,Filipino,madilim,All ages
Mild,English,quiet,All ages
Mild,Filipino,matapang-tapang,All ages
Mild,English,quirky,All ages
Mild,Filipino,makulit,All ages
Mild,English,unpredictable,All ages
Mild,Filipino,mabait-bait,All ages
Mild,English,distracted,All ages
Mild,Filipino,mabait-bait,All ages
Mild,English,restless,All ages
Mild,Filipino,matigas,All ages
